"file","line","ret","name","args","qual"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","33","bool","valid","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","35","const std::string&","name","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","37","uint64_t","offset","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","39","size_t","size","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","41","const uint8_t*","data","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","44","bool","prepareTranslation","std::string* error = nullptr","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","46","bool","dump","const char* file_path, DumpMode mode","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","48","const std::vector<uint64_t>&","sharedBranchAddrs","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","50","bool","remapBlToSharedBranchAddrs","const std::vector<uint64_t>& shared_branch_addrs","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zElfKit.h","79","bool","loaded","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zPatchbayApi.h","120","bool","loaded","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zPatchbayApi.h","122","bool","validate","std::string* error = nullptr","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zPatchbayApi.h","125","bool","resolveSymbol","const char* symbol_name, PatchSymbolInfo* out_info","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\api\zPatchbayApi.h","132","bool","queryRequiredSections","PatchRequiredSections* out, std::string* error","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zElf.h","138","const std::vector<zFunction>&","getFunctionList","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zFunction.h","42","const std::string&","name","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zFunction.h","43","Elf64_Addr","offset","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zFunction.h","44","size_t","size","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zFunction.h","45","const uint8_t*","data","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zFunction.h","46","bool","empty","","const"
"Z:\2026\0217_vmp_project\VmpProject\VmProtect\modules\elfkit\core\zFunction.h","53","const std::vector<zInst>&","assemblyList","","const"
