"file","line","class","ret","name","args","suffix","sig"
"VmProtect/modules\base\core\zBitCodec.h","19","BitWriter6","void","write6","uint32_t value","","void write6(uint32_t value)"
"VmProtect/modules\base\core\zBitCodec.h","21","BitWriter6","void","writeExtU32","uint32_t value","","void writeExtU32(uint32_t value)"
"VmProtect/modules\base\core\zBitCodec.h","23","BitWriter6","std::vector<uint8_t>","finish","","","std::vector<uint8_t> finish()"
"VmProtect/modules\base\core\zBitCodec.h","39","BitReader6","","BitReader6","const uint8_t* data, size_t len","","BitReader6(const uint8_t* data, size_t len)"
"VmProtect/modules\base\core\zBitCodec.h","42","BitReader6","bool","read6","uint32_t* out","","bool read6(uint32_t* out)"
"VmProtect/modules\base\core\zBitCodec.h","44","BitReader6","bool","readExtU32","uint32_t* out","","bool readExtU32(uint32_t* out)"
"VmProtect/modules\base\core\zBitCodec.h","56","","void","writeU64AsU32Pair","BitWriter6* writer, uint64_t value","","void writeU64AsU32Pair(BitWriter6* writer, uint64_t value)"
"VmProtect/modules\base\core\zBitCodec.h","58","","bool","readU64FromU32Pair","BitReader6* reader, uint64_t* out","","bool readU64FromU32Pair(BitReader6* reader, uint64_t* out)"
"VmProtect/modules\base\core\zBytes.h","16","","bool","validateRegionAllowEmpty","uint32_t header_size, uint32_t total_size, uint32_t off, uint32_t cap, const char* name, std::string* error","","bool validateRegionAllowEmpty(uint32_t header_size, uint32_t total_size, uint32_t off, uint32_t cap, const char* name, std::string* error)"
"VmProtect/modules\base\core\zBytes.h","25","","bool","validateUsedRegion","uint32_t header_size, uint32_t total_size, uint32_t off, uint32_t cap, uint32_t used, const char* name, std::string* error","","bool validateUsedRegion(uint32_t header_size, uint32_t total_size, uint32_t off, uint32_t cap, uint32_t used, const char* name, std::string* error)"
"VmProtect/modules\base\core\zBytes.h","35","","bool","writeRegionPadded","std::vector<uint8_t>* bytes, uint64_t base_off, uint32_t off, uint32_t cap, const std::vector<uint8_t>& payload, std::string* error","","bool writeRegionPadded(std::vector<uint8_t>* bytes, uint64_t base_off, uint32_t off, uint32_t cap, const std::vector<uint8_t>& payload, std::string* error)"
"VmProtect/modules\base\core\zChecksum.h","15","","uint32_t","crc32IeeeInit","","","uint32_t crc32IeeeInit()"
"VmProtect/modules\base\core\zChecksum.h","17","","uint32_t","crc32IeeeUpdate","uint32_t crc, const uint8_t* data, size_t size","","uint32_t crc32IeeeUpdate(uint32_t crc, const uint8_t* data, size_t size)"
"VmProtect/modules\base\core\zChecksum.h","19","","uint32_t","crc32IeeeFinal","uint32_t crc","","uint32_t crc32IeeeFinal(uint32_t crc)"
"VmProtect/modules\base\core\zChecksum.h","22","","uint32_t","crc32Ieee","const uint8_t* data, size_t size","","uint32_t crc32Ieee(const uint8_t* data, size_t size)"
"VmProtect/modules\base\core\zChecksum.h","24","","uint32_t","crc32Ieee","const std::vector<uint8_t>& data","","uint32_t crc32Ieee(const std::vector<uint8_t>& data)"
"VmProtect/modules\base\core\zCodec.h","17","","bool","readU32Le","const std::vector<uint8_t>& bytes, size_t offset, uint32_t* out","","bool readU32Le(const std::vector<uint8_t>& bytes, size_t offset, uint32_t* out)"
"VmProtect/modules\base\core\zCodec.h","19","","bool","writeU32Le","std::vector<uint8_t>* bytes, size_t offset, uint32_t value","","bool writeU32Le(std::vector<uint8_t>* bytes, size_t offset, uint32_t value)"
"VmProtect/modules\base\core\zCodec.h","21","","void","appendU32Le","std::vector<uint8_t>* out, uint32_t value","","void appendU32Le(std::vector<uint8_t>* out, uint32_t value)"
"VmProtect/modules\base\core\zCodec.h","23","","bool","readU64Le","const std::vector<uint8_t>& bytes, size_t offset, uint64_t* out","","bool readU64Le(const std::vector<uint8_t>& bytes, size_t offset, uint64_t* out)"
"VmProtect/modules\base\core\zCodec.h","25","","bool","writeU64Le","std::vector<uint8_t>* bytes, size_t offset, uint64_t value","","bool writeU64Le(std::vector<uint8_t>* bytes, size_t offset, uint64_t value)"
"VmProtect/modules\base\core\zCodec.h","27","","void","appendU64Le","std::vector<uint8_t>* out, uint64_t value","","void appendU64Le(std::vector<uint8_t>* out, uint64_t value)"
"VmProtect/modules\base\core\zCodec.h","29","","void","appendU32LeArray","std::vector<uint8_t>* out, const uint32_t* values, size_t count","","void appendU32LeArray(std::vector<uint8_t>* out, const uint32_t* values, size_t count)"
"VmProtect/modules\base\core\zCodec.h","31","","void","appendU64LeArray","std::vector<uint8_t>* out, const uint64_t* values, size_t count","","void appendU64LeArray(std::vector<uint8_t>* out, const uint64_t* values, size_t count)"
"VmProtect/modules\base\core\zCodec.h","33","","bool","readU32LeAdvance","const std::vector<uint8_t>& bytes, size_t* cursor, uint32_t* out","","bool readU32LeAdvance(const std::vector<uint8_t>& bytes, size_t* cursor, uint32_t* out)"
"VmProtect/modules\base\core\zCodec.h","35","","bool","readU64LeAdvance","const std::vector<uint8_t>& bytes, size_t* cursor, uint64_t* out","","bool readU64LeAdvance(const std::vector<uint8_t>& bytes, size_t* cursor, uint64_t* out)"
